,Team,Total Points,MatchesPlayed,Total Points Conceded,Successful Raids,Successful Tackles,Super Raid,Super Tackles,Inflicted,Conceded
0,Patna Pirates,1050,26,921,487,226,26,27,55,29
1,Gujarat Fortunegiants,775,24,641,335,242,11,12,36,17
2,Puneri Paltan,766,24,683,304,252,12,21,32,23
3,U.P. Yoddha,762,23,763,358,183,23,19,23,32
4,Bengal Warriors,749,24,757,379,181,11,12,27,29
5,Haryana Steelers,727,23,726,327,206,12,21,27,23
6,U Mumba,707,22,757,322,176,10,26,21,36
7,Telugu Titans,696,22,698,332,191,10,17,25,26
8,Bengaluru Bulls,689,22,679,336,185,5,17,28,25
9,Tamil Thalaivas,681,22,752,351,184,5,17,19,31
10,Jaipur Pink Panthers,631,22,723,288,162,13,10,22,27
11,Dabang Delhi K.C.,598,22,731,283,159,6,12,18,35
